month,day,quarter,day_of_week,workingday,holiday,temperature,humidity,windspeed,registered,casual,total
1,1,1Q,SUN,0,0,21.4,72,12,1608,686,2294
1,2,1Q,MON,0,1,15.0,44,19,1707,244,1951
1,3,1Q,TUE,1,0,7.6,39,23,2147,89,2236
1,4,1Q,WED,1,0,0.4,35,11,2273,95,2368
1,5,1Q,THU,1,0,14.2,49,6,3132,140,3272
1,6,1Q,FRI,1,0,13.1,60,14,3791,307,4098
1,7,1Q,SAT,0,0,20.6,45,5,3451,1070,4521
1,8,1Q,SUN,0,0,24.4,41,19,2826,599,3425
1,9,1Q,MON,1,0,6.6,67,4,2270,106,2376
1,10,1Q,TUE,1,0,3.0,56,14,3425,173,3598
1,11,1Q,WED,1,0,5.2,81,2,2085,92,2177
1,12,1Q,THU,1,0,18.3,83,15,3828,269,4097
1,13,1Q,FRI,1,0,5.4,58,16,3040,174,3214
1,14,1Q,SAT,0,0,4.3,65,8,2160,333,2493
1,15,1Q,SUN,0,0,9.6,35,30,2027,284,2311
1,16,1Q,MON,0,1,7.0,58,13,2081,217,2298
1,17,1Q,TUE,1,0,14.7,73,19,2808,127,2935
1,18,1Q,WED,1,0,15.8,40,32,3267,109,3376
1,19,1Q,THU,1,0,7.2,50,9,3162,130,3292
1,20,1Q,FRI,1,0,4.4,48,9,3048,115,3163
1,21,1Q,SAT,0,0,4.9,83,15,1234,67,1301
1,22,1Q,SUN,0,0,9.2,89,7,1781,196,1977
1,23,1Q,MON,1,0,4.1,87,0,2287,145,2432
1,24,1Q,TUE,1,0,12.3,83,12,3900,439,4339
1,25,1Q,WED,1,0,6.6,64,15,3803,467,4270
1,26,1Q,THU,1,0,14.2,73,12,3831,244,4075
1,27,1Q,FRI,1,0,15.2,65,23,3187,269,3456
1,28,1Q,SAT,0,0,19.1,53,18,3248,775,4023
1,29,1Q,SUN,0,0,9.2,21,14,2685,558,3243
1,30,1Q,MON,1,0,10.8,36,8,3498,126,3624
1,31,1Q,TUE,1,0,16.3,44,20,4185,324,4509
2,1,1Q,WED,1,0,20.4,52,13,4275,304,4579
2,2,1Q,THU,1,0,16.9,75,6,3571,190,3761
2,3,1Q,FRI,1,0,14.1,62,8,3841,310,4151
2,4,1Q,SAT,0,0,17.5,76,8,2448,384,2832
2,5,1Q,SUN,0,0,9.0,56,10,2629,318,2947
2,6,1Q,MON,1,0,7.2,61,22,3578,206,3784
2,7,1Q,TUE,1,0,13.4,51,5,4176,199,4375
2,8,1Q,WED,1,0,17.9,77,7,2693,109,2802
2,9,1Q,THU,1,0,11.4,49,11,3667,163,3830
2,10,1Q,FRI,1,0,10.2,50,1,3604,227,3831
2,11,1Q,SAT,0,0,7.9,67,34,1977,192,2169
2,12,1Q,SUN,0,0,6.5,43,29,1456,73,1529
2,13,1Q,MON,1,0,7.9,39,10,3328,94,3422
2,14,1Q,TUE,1,0,15.1,52,5,3787,135,3922
2,15,1Q,WED,1,0,19.9,56,13,4028,141,4169
2,16,1Q,THU,1,0,14.7,87,4,2931,74,3005
2,17,1Q,FRI,1,0,10.8,61,16,3805,349,4154
2,18,1Q,SAT,0,0,14.8,50,8,2883,1435,4318
2,19,1Q,SUN,0,0,8.3,53,13,2071,618,2689
2,20,1Q,MON,0,1,14.7,47,14,2627,502,3129
2,21,1Q,TUE,1,0,6.1,58,5,3614,163,3777
2,22,1Q,WED,1,0,13.9,58,5,4379,394,4773
2,23,1Q,THU,1,0,18.5,55,18,4546,516,5062
2,24,1Q,FRI,1,0,10.7,73,9,3241,246,3487
2,25,1Q,SAT,0,0,16.6,42,28,2415,317,2732
2,26,1Q,SUN,0,0,11.3,38,16,2874,515,3389
2,27,1Q,MON,1,0,17.1,55,15,4069,253,4322
2,28,1Q,TUE,1,0,16.2,41,17,4134,229,4363
2,29,1Q,WED,1,0,14.9,85,11,1769,65,1834
3,1,1Q,THU,1,0,21.0,67,17,4665,325,4990
3,2,1Q,FRI,1,0,13.2,53,13,2948,246,3194
3,3,1Q,SAT,0,0,15.3,68,12,3110,956,4066
3,4,1Q,SUN,0,0,11.7,37,23,2713,710,3423
