product_name,calories,carb,protein,fat,sodium,category
Whopper,660,49,28,40,1.0,Burgers
Cheese Whopper,740,50,32,46,1.3,Burgers
Double Whopper,900,49,48,58,1.0,Burgers
Double Cheese Whopper,980,50,52,64,1.4,Burgers
Whopper Junior,310,27,13,18,0.4,Burgers
Bacon King,1150,49,61,79,2.2,Burgers
Single Stacker King,700,48,35,42,1.4,Burgers
Double Stacker King,1050,49,61,68,,Burgers
Hamburger,240,26,13,10,0.4,Burgers
Cheeseburger,280,27,15,13,0.6,Burgers
Double Hamburger,350,26,21,18,0.4,Burgers
Double Cheeseburger,390,27,23,21,0.6,Burgers
Crispy Chicken,670,54,23,41,1.1,Chicken
Chicken Nuggets,170,11,8,11,0.3,Chicken
Spicy Chicken Nuggets,210,11,8,15,0.6,Chicken
